id,user_query,bot_response,intent,specialty
35,I am anxious most of the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
36,How to improve digestion?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
37,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
38,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
39,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
40,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
41,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
42,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
43,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
44,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
45,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
46,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
47,Who treats thyroid issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
48,What fruits are good for the heart?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
49,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
50,I am anxious most of the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
51,My kid is coughing continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
52,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
53,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
54,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
55,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
56,My kid is coughing continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
57,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
58,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
59,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
60,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
61,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
62,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
63,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
64,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
65,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
66,What medicine helps in acidity?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
67,How to reduce stress naturally?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
68,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
69,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
70,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
71,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
72,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
73,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
74,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
75,What medicine helps in acidity?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
76,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
77,I feel lonely,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
78,I feel mentally exhausted,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
79,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
80,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
81,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
82,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
83,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
84,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
85,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
86,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
87,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
88,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
89,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
90,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
91,My kid is coughing continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
92,I feel depressed,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
93,How to control high blood pressure?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
94,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
95,Is aspirin good for chest pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
96,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
97,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
98,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
99,How to prevent heart disease?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
100,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
101,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
102,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
103,Which syrup is good for cough?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
104,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
105,What drops to use for red eyes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
106,What should I eat for strong bones?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
107,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
108,What drops to use for red eyes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
109,What foods help in weight loss?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
110,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
111,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
112,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
113,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
114,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
115,I have mood swings,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
116,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
117,Can I take paracetamol for fever?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
118,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
119,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
120,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
121,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
122,What foods help in weight loss?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
123,Can I take paracetamol for fever?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
124,Which syrup is good for cough?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
125,How to stay fit after 40?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
126,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
127,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
128,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
129,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
130,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
131,Which doctor for irregular heartbeat?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
132,I feel mentally exhausted,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
133,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
134,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
135,What is a good diet for diabetes?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
136,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
137,How to prevent heart disease?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
138,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
139,My child feels weak,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
140,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
141,What should I eat for strong bones?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
142,My child has stomach pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
143,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
144,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
145,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
146,I am having panic attacks,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
147,Is ibuprofen safe for stomach pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
148,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
149,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
150,What should I eat for strong bones?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
151,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
152,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
153,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
154,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
155,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
156,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
157,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
158,What to eat for good sleep?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
159,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
160,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
161,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
162,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
163,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
164,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
165,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
166,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
167,My kid is coughing continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
168,My baby is crying continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
169,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
170,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
171,My kid is coughing continuously,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
172,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
173,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
174,My eyes are red and itchy,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
175,What drops to use for red eyes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
176,My kid has ear pain,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
177,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
178,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
179,How to boost immunity?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
180,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
181,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
182,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
183,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
184,What diet helps in immunity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
185,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
186,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
187,How to improve sleep quality?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
188,What to eat for high blood pressure?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
189,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
190,My child has rashes,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
191,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
192,What should I eat for strong bones?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
193,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
194,How to quit smoking?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
195,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
196,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
197,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
198,Should I use ointment for rashes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
199,Who treats allergies?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
200,Is aspirin good for chest pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
201,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
202,What to eat for high blood pressure?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
203,Which medicine for headache?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
204,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
205,What diet for high cholesterol?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
206,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
207,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
208,I cannot focus on studies,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
209,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
210,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
211,What is a healthy breakfast?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
212,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
213,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
214,How to control high blood pressure?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
215,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
216,Can I take antibiotics for cold?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
217,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
218,Which doctor for frequent headaches?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
219,How to keep cholesterol low?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
220,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
221,What should I avoid for acidity?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
222,My child has loose motion,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
223,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
224,My baby is not eating food,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
225,I am worried all the time,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
226,Which doctor for irregular heartbeat?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
227,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
228,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,General Medicine
229,How to boost immunity?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
230,How to quit smoking?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
231,How to keep cholesterol low?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
232,How to reduce stress naturally?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
233,I feel weak and tired,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
234,My baby has a fever,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
235,I feel dizzy sometimes,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
236,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
237,I am sneezing continuously,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
238,I feel pain in my joints,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
239,I have a fever and chills,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
240,Which doctor for chest pain?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
241,Is aspirin good for chest pain?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
242,I feel depressed,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
243,Whom should I consult for breathing issues?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
244,How to quit smoking?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
245,My throat feels sore,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
246,My child feels weak,Please monitor your child's symptoms carefully and consult a pediatrician if needed.,child_care,Pediatrics
247,I feel stressed and cannot sleep,It seems you are facing mental stress. Practice relaxation and consult a psychiatrist if it continues.,mental_health,Psychiatry
248,What drops to use for red eyes?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
249,I have skin itching,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Dermatology
250,My head hurts often,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,ENT
251,Should I take multivitamins daily?,"Please consult a physician before taking any medication. For mild symptoms, basic OTC medicines may help.",medicine_advice,General Medicine
252,How to boost immunity?,"Regular exercise, a healthy diet, and proper rest are recommended. Consult your doctor for guidance.",lifestyle_advice,Cardiology
253,I have stomach cramps,It seems like you may need rest and hydration. Please consult a doctor if it persists.,symptom_check,Orthopedics
254,What to eat for high blood pressure?,A balanced diet with proper nutrition is recommended. Consult a dietitian for a detailed plan.,diet_advice,Endocrinology
255,Which doctor for skin problems?,It is best to consult a specialist for this condition.,doctor_referral,Cardiology
